product_id,title,category,price,stock,rating,brand
60,Grater Black,kitchen-accessories,10.99,84,3.21,
61,Hand Blender,kitchen-accessories,34.99,84,3.86,
62,Ice Cube Tray,kitchen-accessories,5.99,13,4.71,
63,Kitchen Sieve,kitchen-accessories,7.99,68,3.09,
64,Knife,kitchen-accessories,14.99,7,3.26,
65,Lunch Box,kitchen-accessories,12.99,94,4.93,
66,Microwave Oven,kitchen-accessories,89.99,59,4.82,
67,Mug Tree Stand,kitchen-accessories,15.99,88,2.64,
68,Pan,kitchen-accessories,24.99,90,2.79,
69,Plate,kitchen-accessories,3.99,66,3.65,
70,Red Tongs,kitchen-accessories,6.99,82,4.42,
71,Silver Pot With Glass Cap,kitchen-accessories,39.99,40,3.22,
72,Slotted Turner,kitchen-accessories,8.99,88,3.4,
73,Spice Rack,kitchen-accessories,19.99,79,4.87,
74,Spoon,kitchen-accessories,4.99,59,4.03,
75,Tray,kitchen-accessories,16.99,71,4.62,
76,Wooden Rolling Pin,kitchen-accessories,11.99,80,2.92,
77,Yellow Peeler,kitchen-accessories,5.99,35,4.24,
78,Apple MacBook Pro 14 Inch Space Grey,laptops,1999.99,24,3.65,Apple
79,Asus Zenbook Pro Dual Screen Laptop,laptops,1799.99,45,3.95,Asus
80,Huawei Matebook X Pro,laptops,1399.99,75,4.98,Huawei
81,Lenovo Yoga 920,laptops,1099.99,40,2.86,Lenovo
82,New DELL XPS 13 9300 Laptop,laptops,1499.99,74,2.67,Dell
83,Blue & Black Check Shirt,mens-shirts,29.99,38,3.64,Fashion Trends
84,Gigabyte Aorus Men Tshirt,mens-shirts,24.99,90,3.18,Gigabyte
85,Man Plaid Shirt,mens-shirts,34.99,82,3.46,Classic Wear
86,Man Short Sleeve Shirt,mens-shirts,19.99,2,2.9,Casual Comfort
87,Men Check Shirt,mens-shirts,27.99,95,2.72,Urban Chic
88,Nike Air Jordan 1 Red And Black,mens-shoes,149.99,7,4.77,Nike
89,Nike Baseball Cleats,mens-shoes,79.99,12,3.88,Nike
90,Puma Future Rider Trainers,mens-shoes,89.99,90,4.9,Puma
91,Sports Sneakers Off White & Red,mens-shoes,119.99,17,4.77,Off White
92,Sports Sneakers Off White Red,mens-shoes,109.99,62,4.69,Off White
93,Brown Leather Belt Watch,mens-watches,89.99,32,4.19,Fashion Timepieces
94,Longines Master Collection,mens-watches,1499.99,100,3.87,Longines
95,Rolex Cellini Date Black Dial,mens-watches,8999.99,40,4.97,Rolex
96,Rolex Cellini Moonphase,mens-watches,12999.99,36,2.58,Rolex
97,Rolex Datejust,mens-watches,10999.99,86,3.66,Rolex
98,Rolex Submariner Watch,mens-watches,13999.99,55,2.69,Rolex
99,Amazon Echo Plus,mobile-accessories,99.99,61,4.99,Amazon
100,Apple Airpods,mobile-accessories,129.99,67,4.15,Apple
